home_batting_batting_avg_10RA,away_pitching_earned_run_avg_10RA
0.151928744,3.609158378
0.267497356,3.728136038
,2.882163847
0.216746462,3.479103487
0.42774882,4.789088554
0.397408612,5.058634495
0.167098848,3.603824897
0.141447581,3.874191373
0.367895864,
0.167374668,4.530209576
0.244083296,
0.220056303,3.186992818
0.288183861,4.390718526
0.098419649,4.412462719
0.299216665,3.684237384
0.39180027,4.518448566
0.328729413,3.735110591
0.421404958,4.073991789
0.233019846,4.278715418
0.39299549,3.827831112
0.397684432,4.249996673
0.136482819,4.673803304
,3.859011465
0.189991914,3.764239604
0.146412342,3.799932902
0.279909259,3.72034095
0.383617608,4.562620732
0.234123126,3.39294725
0.239363708,4.266817652
0.358242161,4.125685531
0.207368579,3.750700767
0.195784136,4.688983212
0.2117817,3.941065024
0.364861843,4.990119773
,5.345001416
0.244604289,4.345589069
0.042428173,4.739856419
0.261980954,3.857780661
0.190543554,3.769573086
0.228606725,5.812706701
0.253430532,4.074812324
,3.944757434
0.098695469,4.759959541
0.212884981,4.24302212
0.213160801,4.08671009
0.31824825,3.857370393
-0.012735842,3.458590097
0.243501009,3.853267716
0.196887416,4.360768977
0.250672331,3.87296057
0.254533812,
0.168753768,4.238098907
,3.79665076
0.273841217,4.300459611
0.163237367,4.067017236
0.305008886,3.813061472
0.17537345,3.725264164
0.198956067,2.897890779
,4.049375721
0.131242238,3.684237384
0.321006451,3.080323191
0.334797454,4.504772973
0.186682073,4.520363149
0.434092682,4.128694161
0.204334558,3.741674876
,
0.221987043,3.725264164
0.235778047,3.761777997
0.364310203,4.210200697
0.24625921,4.017785101
0.110831552,4.189687307
0.371205704,3.386382966
0.226675984,4.23932971
0.124622556,4.15932749
0.186406253,3.684237384
0.148894723,4.361179245
,4.17143039
0.261114091,4.714009548
0.295355183,3.335509759
0.236605507,3.817984685
,3.857370393
0.144481602,3.669057476
0.294803543,3.924654312
0.322661371,4.417385933
0.308042907,3.899627976
0.218953022,4.671751965
0.223641964,3.622697215
0.205713659,3.830702987
0.229710005,4.750113114
0.049599495,3.569362402
0.025878969,3.171402641
0.064217959,4.950734065
0.340313856,3.941475291
0.305836346,4.086299823
0.367620043,4.279125686
0.219504662,
0.35575978,4.543338146
0.361552002,3.99193823
0.214815721,4.200764537
0.158272605,
0.181441492,4.499849759
0.163789007,4.273792205
0.140804001,4.351215598
0.167098848,4.065786433
0.460295589,5.657625475
0.302250685,3.953783325
0.276599418,4.053478399
0.232468206,3.633364178
0.224193604,5.058634495
0.079388064,4.315229252
,
0.198542337,4.402616292
0.287080581,3.508232501
0.343623697,4.083838216
0.18708048,3.606286503
0.350243379,4.13142928
0.233571486,5.268691606
0.308042907,3.234173614
0.402373373,4.648366701
0.228606725,3.673980689
0.162961547,3.561157046
0.295631004,4.171225256
0.193577575,3.781881119
0.384100293,4.272678621
0.334521634,4.454720302
0.087111026,3.696545418
0.278530159,4.073991789
0.170960329,4.022298047
0.336176555,3.920141366
0.158548426,4.16671231
0.161582446,4.326306482
0.180614032,4.042811436
,4.558107786
0.261705134,4.68939348
0.252051431,4.812063551
0.374239725,5.462338005
0.149446363,
0.236881327,4.112967229
0.268600636,3.628851232
0.220332123,
0.35686306,4.641528904
0.382790148,4.281587293
0.419474218,5.191971528
0.241846089,
0.231640746,3.64033873
0.267773176,4.550722966
0.348588458,
,
0.239639528,3.555003029
0.255085452,4.094505179
0.307215447,
0.161950207,5.185817511
0.229985825,4.402206024
0.405407394,3.465974918
0.237157147,4.026400725
0.337004015,3.615312395
0.364034382,3.790496743
0.297010104,4.22825248
0.229434185,4.452668963
0.134276259,4.597083227
0.116623774,4.067427504
0.254257992,4.049785989
0.219504662,4.899450591
0.165995568,4.251637744
0.089041766,
0.196059956,3.581670436
0.2090235,4.032965009
0.260050214,5.284281782
0.085456105,3.878704319
0.224469424,3.626799893
0.372033165,4.638930542
0.219780483,3.67192935
0.17371853,3.507001697
0.154962765,4.219636856
0.142826681,3.800138036
,4.282407828
0.348864278,3.620235608
,3.52136107
0.289287142,3.779419513
0.314386769,3.808138258
0.126829117,
0.200473077,3.774496299
0.161858266,3.893473959
0.243776829,3.676032028
0.195784136,4.391539062
0.251499791,3.86352441
0.302250685,4.391539062
0.226675984,3.840139146
0.430507021,5.351155432
0.201576357,4.357486835
0.225572704,3.479924023
,4.986837631
0.145584882,3.417563318
0.234398947,3.494693663
0.170684509,3.782701655
0.285977301,4.400154685
0.415612737,4.414514058
0.191371015,4.694316694
0.184199693,3.976348054
0.178683291,4.412462719
0.293700263,3.333048152
0.207000819,3.786804333
0.296182644,4.089581965
0.214539901,4.140044904
0.268324816,3.771214157
0.17537345,4.703752853
0.164064827,4.69882964
0.104290676,4.085274153
0.252327252,4.202405608
0.291493702,4.72672785
0.308594547,4.115018568
0.085456105,4.061683755
0.197439056,4.653700182
0.224469424,3.513565982
0.313283488,4.12404446
0.229434185,3.66454453
0.188153114,3.598764927
0.216194822,4.136352494
0.265842435,
,4.056350274
0.225296884,4.612673403
0.252603072,3.133247737
0.231640746,
0.20985096,3.868857892
0.239915348,4.037888223
-0.100998266,4.197072127
0.230292292,
0.201300537,3.61244052
0.190819375,4.499439492
0.080123584,3.360125827
0.172753159,5.581042153
0.240466988,4.358717638
0.224469424,4.218406052
0.236881327,4.64672563
0.327626132,3.557054368
,3.855182299
0.313835129,3.786804333
0.21123006,4.156045348
0.335624915,4.973298794
0.226124344,4.016964565
0.214539901,5.030326017
0.218953022,4.576980105
0.369550784,4.336563177
0.310801108,4.878116666
0.13979266,4.743959097
0.2117817,3.848344502
0.256464553,
0.303353966,
0.424163159,4.965913974
0.243776829,4.010400281
0.150549643,3.975937786
0.236605507,
0.274392858,
0.300319945,4.216354713
0.204886198,4.054298935
0.384996708,4.22250873
0.28404656,3.19765978
0.206541119,4.489182797
0.151928744,5.110328237
0.295355183,4.715650619
0.250948151,4.453489499
0.240191168,3.951731986
0.180889852,3.981271267
0.250120691,4.555646179
0.167098848,3.278892804
0.203782918,3.502488751
0.327350312,3.821266828
0.189440274,4.238098907
0.188061174,4.181481951
0.287908041,4.668880091
0.207644399,4.12404446
0.261429314,4.545799752
0.215091541,4.094505179
0.363482742,3.66454453
0.217298102,4.033375277
0.168477948,3.790086475
0.197990696,4.140865439
0.323488831,4.519952881
0.290390422,3.04339909
0.338658935,5.171047871
0.328729413,4.483849315
0.28184,4.242201585
0.150825463,4.557697518
,4.713189012
0.28211582,4.334922106
0.226833596,3.942022315
0.13786192,3.228840133
0.328177773,3.848344502
0.068355261,4.195431056
0.294343843,3.563208385
0.17399435,4.525286363
0.277978519,4.694726962
0.192750115,3.87227679
,
0.384996708,
0.203782918,4.396872543
0.380031947,3.744957018
0.10117785,3.80772799
0.204334558,5.161201444
0.244880109,4.541697074
0.075250763,3.828651648
0.421877793,4.614373084
0.258671113,4.146198921
0.307491267,4.534312254
0.178683291,3.771624424
0.10338441,3.6534673
0.351070839,4.559338589
0.222538683,3.723212825
0.316317509,4.353384157
0.170960329,4.032965009
0.233295666,3.48977045
0.313835129,5.046736729
0.224745244,3.687109259
0.154962765,4.599955101
0.229158365,3.663723995
0.340313856,3.838087807
0.24653503,4.346819872
0.181717312,4.217585517
0.17316689,4.699650175
0.331579553,4.167767285
0.362931102,3.961168145
0.233295666,
0.335900735,3.530386961
0.198726217,4.158096687
0.183372232,3.231301739
0.114141393,3.477872684
0.31852407,4.631135453
0.012087965,4.812473819
,3.935321274
0.239363708,4.252458279
0.158272605,4.055529738
0.097868009,3.812240936
0.202863518,4.428189651
0.296458464,4.434206912
0.231824626,4.197072127
0.268600636,3.704750774
0.180062392,4.052657864
0.294803543,4.196251592
0.299216665,4.412462719
0.445952945,4.226611408
0.181165672,4.024759654
0.239363708,4.443643071
0.204242618,3.197044379
